"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"MOR409","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.196","0.601","0.125","0.229","0.351","0.166","0.027","0.098","0.016","0.04","0.059"
"CKT136","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","6.009","4.494","0.402","1.882","2.254","1.242","0.232","0.067","0.036","0.062","0.034"
"WSP144","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.411","1.934","1.157","1.167","2.305","0.816","0.16","0.29","0.052","0.069","0.226"
"VOY413","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.729","1.186","0.509","0.455","0.957","0.467","0.135","0.051","0.034","0.061","0.036"
"STK138","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","3.313","2.672","3.108","1.051","4.142","1.611","0.559","0.079","0.164","0.07","0.094"
"ASH135","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.456","0.513","0.189","0.179","0.365","0.184","0.073","0.094","0.021","0.067","0.093"
"PAL190","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.823","1.439","0.894","0.741","1.623","0.543","0.85","0.115","0.075","0.103","0.035"
"ROM206","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.119","0.326","0.173","0.316","0.485","0.147","0.074","0.024","0.012","0.019","0.016"
"JOT403","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.452","0.707","0.706","1.213","1.899","0.241","0.302","0.225","0.051","0.057","0.076"
"JOT403","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.534","1.164","1.232","2.36","3.554","0.457","0.381","0.241","0.064","0.067",""
"DEV412","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.366","0.883","0.373","1.573","1.922","0.28","","","","",""
"DCP114","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","8.495","5.224","1.684","2.848","4.486","2.081","0.312","0.091","0.063","0.075",""
"UVL124","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","4.777","3.143","2.343","1.631","3.948","1.56","0.419","0.11","0.08","0.07",""
"WST109","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.391","0.613","0.172","0.217","0.385","0.226","0.048","0.08","0.013","0.043","0.071"
"SPD111","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.265","2.691","0.424","0.878","1.288","0.927","0.314","0.089","0.039","0.081","0.05"
"THR422","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.676","0.801","0.491","0.465","0.948","0.32","0.318","0.05","0.046","0.042","0.02"
"CHA467","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.824","0.982","0.3","0.611","0.902","0.319","","","","",""
"WNC429","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.352","0.608","0.254","0.588","0.832","0.245","0.293","0.029","0.031","0.036","0.017"
"PET427","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","","","","","","","","","","",""
"HOX148","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","","","","","","","","","","",""
"SHN418","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","2.282","2.162","0.382","0.853","1.221","0.786","0.123","0.051","0.021","0.052","0.033"
"ALH157","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","2.286","2.616","1.795","1.169","2.946","1.221","0.543","0.109","0.067","0.085","0.08"
"BEL116","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","10.19","4.861","1.051","2.203","3.219","1.675","0.283","0.216","0.056","0.072","0.098"
"GRB411","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.154","0.541","0.167","0.279","0.442","0.188","0.255","0.069","0.03","0.029","0.046"
"IRL141","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","","","","","","","","","","",""
"POF425","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.354","0.361","0.062","0.147","0.207","0.111","0.03","0.035","0.011","0.015",""
"SEK430","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.722","1.29","1.541","1.379","2.897","0.788","0.188","0.168","0.045","0.089","0.035"
"WST109","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","1.198","2.155","0.215","0.649","0.854","0.709","0.063","0.107","0.015","0.044",""
"ASH235","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","","","","","","","","","","",""
"LRL117","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","1.835","2.079","0.568","0.8","1.355","0.792","0.2","0.072","0.028","0.057","0.033"
"EGB181","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","1.511","1.667","1.4","0.604","1.994","0.85","0.338","0.112","0.045","0.066","0.114"
"HWF187","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.522","1.104","0.278","0.295","0.569","0.427","0.057","0.073","0.015","0.034","0.052"
"VIN140","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","4.86","3.336","2.423","1.175","3.579","1.536","1.103","0.114","0.085","0.114","0.082"
"ESP127","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.97","2.162","0.464","0.792","1.243","0.748","0.201","0.095","0.031","0.071","0.039"
"GRC474","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.155","0.4","0.189","0.391","0.574","0.139","0.133","0.069","0.023","0.023","0.034"
"COW137","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.172","0.752","0.146","0.276","0.418","0.253","0.062","0.071","0.019","0.063","0.045"
"POF425","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","0.378","0.375","0.086","0.178","0.261","0.13","0.036","0.033","0.01","0.019",""
"MCK231","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.736","2.4","0.975","1.026","1.985","1.03","0.222","0.085","0.035","0.07","0.038"
"DCP114","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","9.174","4.882","2.003","2.937","4.894","2.056","0.31","0.126","0.066","0.081",""
"MAC426","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","3.116","3.016","1.234","1.205","2.42","1.296","0.273","0.091","0.04","0.089","0.042"
"CNT169","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.359","0.596","0.175","0.415","0.584","0.228","0.102","0.036","0.015","0.019",""
"LAV410","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.268","0.454","0.167","0.405","0.565","0.168","0.054","0.051","0.015","0.026","0.021"
"ROM406","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.293","0.633","0.243","0.558","0.792","0.254","0.099","0.024","0.017","0.028","0.014"
"MAC426","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","","","","","","","","","","",""
"JOT403","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.594","1.22","1.207","2.233","3.405","0.519","0.329","0.223","0.055","0.063",""
"PIN414","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.376","1.063","1.043","1.004","2.032","0.287","0.134","0.487","0.077","0.062","0.283"
"DCP114","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","3.468","3.129","1.392","1.422","2.792","1.401","0.241","0.094","0.053","0.079","0.068"
"NPT006","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","","","","","","","","","","",""
"SEK402","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","0.903","1.16","1.602","1.581","3.158","0.795","0.172","0.15","0.04","0.085",""
"CNT169","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","0.348","0.503","0.179","0.443","0.615","0.199","0.107","0.028","0.015","0.022",""
"GAS153","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","5.118","4.506","0.538","2.195","2.699","1.469","0.129","0.233","0.04","0.083",""
"EVE419","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.634","2.205","1.052","0.338","1.384","0.253","0.318","1.621","0.224","0.138","2.005"
"DEV412","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.36","0.889","0.351","1.319","1.649","0.3","0.247","0.139","0.041","0.046",""
"MOR409","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.143","0.502","0.12","0.155","0.272","0.152","0.021","0.108","0.016","0.037","0.077"
"CHA467","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.363","0.795","0.275","0.45","0.717","0.267","0.193","0.102","0.025","0.036","0.048"
"ESP127","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","3.275","4.446","0.468","1.484","1.928","1.44","0.238","0.136","0.04","0.074","0.041"
"SEK430","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.721","0.963","0.694","1.101","1.778","0.411","0.209","0.151","0.052","0.103","0.046"
"CTH110","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.472","0.931","0.754","0.494","1.24","0.497","0.147","0.074","0.026","0.05","0.063"
"PNF126","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","2.447","3.684","0.229","1.323","1.53","1.016","0.113","0.049","0.022","0.046",""
"DEV412","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.352","0.926","0.401","1.484","1.861","0.298","0.281","0.195","0.042","0.046",""
"PET427","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.59","0.684","0.32","0.71","1.018","0.251","0.259","0.081","0.031","0.052","0.03"
"YOS404","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.404","0.74","0.429","0.853","1.269","0.309","0.091","0.099","0.023","0.039",""
